Name,Version,License,License - Version,
gpxpy,1.5.0,"Apache License, Version 2.0",Apache 2.0,
backports.zoneinfo,0.2.1,Apache Software License,Apache 2.0,
pytz-deprecation-shim,0.1.0.post0,Apache Software License,Apache 2.0,
regex,2022.3.2,Apache Software License,Apache 2.0,
requests,2.28.0,Apache Software License,Apache 2.0,
tzdata,2022.1,Apache Software License,Apache 2.0,
python-dateutil,2.8.2,Apache Software License; BSD License,Apache 2.0 & BSD 3,"The above BSD License Applies to all code, even that also covered by Apache 2.0."
dateparser,1.1.1,BSD License,BSD-3,
idna,3.3,BSD License,BSD-3,
charset-normalizer,2.0.12,MIT License,,
pydantic,1.9.1,MIT License,,
pytz,2022.1,MIT License,,
six,1.16.0,MIT License,,
tzlocal,4.2,MIT License,,
urllib3,1.26.9,MIT License,,
certifi,2022.5.18.1,Mozilla Public License 2.0 (MPL 2.0),,
typing-extensions,4.2.0,Python Software Foundation License,,